127.0.0.1 - - [02/Jun/2017:09:22:26 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:22:33 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:22:33 +0530] "GET /Ajax/ajax.js HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:22:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:27:48 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:27:48 +0530] "GET /Ajax/ajax.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:28:38 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:28:38 +0530] "GET /Ajax/ajax.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:29:16 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:29:16 +0530] "GET /Ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:30:13 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:30:13 +0530] "GET /Ajax/ajax.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:30:25 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:30:25 +0530] "GET /Ajax/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:31:26 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:31:26 +0530] "GET /Ajax/ajax.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:31:31 +0530] "GET /Ajax/2.jsp?un=Admin&pass=Admin HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:31:39 +0530] "GET /Ajax/2.jsp?un=Admin&pass=dfghjk HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:35:06 +0530] "GET /Ajax/login.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:35:06 +0530] "GET /Ajax/ajax.js HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:35:12 +0530] "POST /Ajax/2.jsp?un=Admin&pass=Admin HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [02/Jun/2017:09:35:18 +0530] "POST /Ajax/2.jsp?un=Admin&pass=Aakash HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:00:03 +0530] "GET /Ajax/Lecture2(JSON)/contry.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:00:03 +0530] "GET /Ajax/Lecture2(JSON)/get.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:00:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:01:10 +0530] "GET /Ajax/Lecture2(JSON)/contry.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:01:10 +0530] "GET /Ajax/Lecture2(JSON)/get.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:01:13 +0530] "GET /Ajax/Lecture2(JSON)/2.jsp?cn=PAKISTAN HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:01:42 +0530] "GET /Ajax/Lecture2(JSON)/contry.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:01:42 +0530] "GET /Ajax/Lecture2(JSON)/get.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:01:44 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=PAKISTAN HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Jun/2017:10:02:17 +0530] "GET /Ajax/Lecture2(JSON)/json.jsp?cn=USA HTTP/1.1" 200 94
