127.0.0.1 - - [20/Feb/2018:11:17:24 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:17:27 +0530] "GET /Baby_Monitoring/index.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:17:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/css/main.css HTTP/1.1" 200 475185
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/css/morris.css HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/loadIndex.html HTTP/1.1" 200 140318
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/css/animsition.min.css HTTP/1.1" 200 48638
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/pi-avatar.jpg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/Jane-avatar.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/random-avatar1.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar1.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar8.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar3.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/js/mainscripts.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar6.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar5.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar4.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar9.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar10.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/xs/avatar2.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/profile-photo.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/project_img1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/images/profile-photo.jpg HTTP/1.1" 200 23666
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/images/random-avatar3.jpg HTTP/1.1" 200 21930
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/project_img2.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/project_img3.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/assets/images/project_img4.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/images/falcon-logo-color.png HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/adminResources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:02 +0530] "GET /Baby_Monitoring/images/loader.gif HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/Feb/2018:11:18:18 +0530] "GET /Baby_Monitoring/subscription.html HTTP/1.1" 500 3990
